date,adm_level,adm_id,state,n_pixels,rfh,rfh_avg,r1h,r1h_avg,r3h,r3h_avg,rfq,r1q,r3q,version
21/02/2023,1,1891,Johor,622,84.41479,31.283012,298.7894,116.916985,1047.4115,752.45807,246.43704,249.17726,138.93991,final
01/03/2023,1,1891,Johor,622,125.903534,53.97701,306.9453,122.97851,1064.3682,684.9671,221.9569,243.74821,154.98828,final
11/03/2023,1,1891,Johor,622,22.138264,54.053535,232.45659,139.31355,913.9533,630.8956,45.955357,164.54213,144.51323,final
21/03/2023,1,1891,Johor,622,49.596462,71.5336,197.63826,179.56415,901.41473,572.9046,71.33659,109.79286,156.84505,final
01/04/2023,1,1891,Johor,622,72.08038,63.43151,143.81511,189.01865,890.7379,536.08954,112.638725,76.70145,165.54338,final
11/04/2023,1,1891,Johor,622,71.88585,63.119667,193.5627,198.08478,887.95654,516.36566,112.8688,97.7733,171.2726,final
21/04/2023,1,1891,Johor,622,66.27974,74.879364,210.24597,201.43054,706.67365,497.91168,89.23423,104.27041,141.51067,final
01/05/2023,1,1891,Johor,622,50.033764,65.522934,188.19936,203.52197,638.9598,515.5191,78.03669,92.651794,123.71491,final
11/05/2023,1,1891,Johor,622,49.836014,60.239174,166.14952,200.64148,592.16876,538.0398,84.05382,83.22714,109.967766,final
21/05/2023,1,1891,Johor,622,47.44855,64.674065,147.31833,190.43617,555.2025,571.43085,75.27701,77.93763,97.184685,final
01/06/2023,1,1891,Johor,622,53.081993,56.38703,150.36655,181.30026,482.381,573.8409,94.61606,83.395775,84.199486,final
11/06/2023,1,1891,Johor,622,39.032154,46.796677,139.5627,167.85777,499.27493,566.58405,85.00961,83.63101,88.224106,final
21/06/2023,1,1891,Johor,622,54.27331,45.842712,146.38747,149.02643,503.95175,540.8931,116.581726,98.28668,93.23286,final
01/07/2023,1,1891,Johor,622,61.244373,60.187515,154.54984,152.8269,493.11578,537.6492,101.62126,101.09166,91.793335,final
11/07/2023,1,1891,Johor,622,72.233116,50.75343,187.7508,156.78366,493.46304,525.2829,138.52621,119.141075,93.99946,final
21/07/2023,1,1891,Johor,622,46.926044,56.407825,180.40353,167.34877,474.10934,506.81137,84.559326,107.574615,93.610535,final
01/08/2023,1,1891,Johor,622,45.686497,55.511578,164.84566,162.67284,469.76205,496.8,83.7633,101.29587,94.61181,final
11/08/2023,1,1891,Johor,622,89.96302,56.71688,182.57556,168.63628,509.88907,493.2777,153.86879,108.02786,103.33375,final
21/08/2023,1,1891,Johor,622,64.659164,68.89212,200.30869,181.12057,527.0997,497.4958,94.27144,110.30951,105.89137,final
01/09/2023,1,1891,Johor,622,64.69775,56.71104,219.31995,182.32004,538.71545,497.8198,112.9421,119.75224,108.13327,final
11/09/2023,1,1891,Johor,622,43.869774,52.188477,173.22668,177.79164,543.55304,503.21158,85.45389,97.50264,107.937935,final
21/09/2023,1,1891,Johor,622,71.130226,53.450428,179.69775,162.34995,560.41,510.8193,130.24751,110.36619,109.61395,final
01/10/2023,1,1891,Johor,622,17.930868,60.716667,132.93086,166.35558,517.09644,511.34845,34.89353,80.49394,101.1132,final
11/10/2023,1,1891,Johor,622,32.20257,66.89453,121.26367,181.06163,477.06592,527.48956,51.74604,67.86121,90.53059,final
21/10/2023,1,1891,Johor,622,84.192924,87.83543,134.32635,215.44662,514.3328,558.9172,96.076385,63.20186,92.09381,final
01/11/2023,1,1891,Johor,622,64.81672,90.76233,181.21222,245.49228,533.4631,594.1679,72.90624,74.33851,89.86848,final
